# 自动生成,来源:23 份历史报价单 item_name/spec/category/remark 字段
# 格式:词 词频 [词性可省]
# 重灌请删除后重跑 `python -m etl.extract_dict`
人造石收边 82 n
轻钢龙骨隔墙 50 n
不锈钢踢脚线基层 46 n
铺地砖 43 n
顶面乳胶漆 37 n
木挂板造型墙 31 n
过门石 27 n
造型贴挂砖 25 n
墙面批灰 25 n
墙面乳胶漆 24 n
防水处理 23 n
一二层 21 n
窗帘盒 20 n
门和门套 19 n
灯具 19 n
深色顶面乳胶漆 19 n
竹木纤维墙挂板 18 n
备餐柜 17 n
踢脚线 17 n
地面找平 17 n
双包门套基层 17 n
石膏板吊造型顶 17 n
铝扣板吊顶 16 n
不锈钢踢脚线 16 n
包窗套 16 n
卫生间 16 n
材料搬运费 15 n
电路改造 15 n
墙面刷乳胶漆 15 n
石膏板吊顶 15 n
以上预算材料 14 n
防水保护层二片 14 n
石材 14 n
东墙 13 n
贴墙砖 13 n
其它 13 n
灯具安装 13 n
石膏板隔墙 13 n
包柱子 13 n
地砖铺设 13 n
北墙 12 n
西墙 11 n
垒地沟 11 n
综合部分 11 n
南墙 11 n
木饰面挂板造型墙 11 n
陶瓷砖粘贴 11 n
套装门 11 n
水路改造 10 n
拆除 10 n
垃圾清运 10 n
脚手架租赁费 10 n
防潮处理 10 n
石膏板造型吊顶 10 n
吊顶造型灯池 10 n
马来漆 9 n
造型吧台 9 n
消防栓箱 9 n
后厨 9 n
防火门 9 n
洁具安装 9 n
顶面刷乳胶漆 9 n
钢板氟碳漆 9 n
木地板造型墙 9 n
墙面美岩板饰面 9 n
美岩板造型墙油漆 9 n
免漆板造型墙 9 n
12mm钢化玻璃 9 n
砌墙及拆除部分 8 n
加气块墙体 8 n
安全出口 8 n
开关 8 n
墙砖 8 n
备餐柜人造石收边 8 n
垒台 8 n
玻璃护栏底座 8 n
不锈钢收边 8 n
藤编 8 n
石英石台面 8 n
矮隔断基层 8 n
消防 7 n
拖把池 7 n
橱柜 7 n
凉菜间塑钢 7 n
钛镁合金推拉门 7 n
窗帘 7 n
主电缆 7 n
柱子基层 7 n
实木扶手 7 n
硅藻泥 7 n
电路 6 n
饰面板造型墙 6 n
不锈钢门套 6 n
工程直接费 6 n
主材砖运输 6 n
玻璃隔墙 6 n
结算时单价不变 6 n
以实际发生量为准 6 n
效果图仅供参考 6 n
以实物为准。 6 n
无论是拆卸 6 n
建筑结构的差异 6 n
凡非施工方做防水 6 n
如竣工后验收合格 6 n
此预算不含石材 6 n
壁纸 6 n
卫生洁具 6 n
开关插座 6 n
墙地砖 6 n
软木地板。 6 n
白色乳胶漆 6 n
税金 6 n
水路 6 n
墙砖铺设 6 n
墙面基层处理 6 n
蹲便 6 n
120实木吊顶 6 n
40实木造型 6 n
石英石收边 6 n
石膏板吊平顶 5 n
不含 5 n
空调 5 n
营业部分 5 n
墙体找平 5 n
沙发基座 5 n
不锈钢花池 5 n
造型贴挂砖涮背胶 5 n
垃圾清理 5 n
暗装应急灯 5 n
lEDT5日光灯 5 n
主材部分 5 n
搬运 5 n
多退少补。 5 n
贴膜 5 n
金属收边 5 n
吊柜 5 n
检修口 5 n
主材 5 n
包上下水管道 5 n
地砖 5 n
钢板基层 5 n
中岛 5 n
楼梯 5 n
包下水管 5 n
主下水 5 n
大厅西墙 5 n
装饰柜 5 n
大厅东墙 5 n
二层 5 n
插座 5 n
新建施工围挡 5 n
主电箱 4 n
灯箱 4 n
弱电。 4 n
水龙头 4 n
热水器防水处理 4 n
经理室 4 n
门头部分 4 n
彩铝不锈钢及其它 4 n
不锈钢护角 4 n
灯具明细 4 n
双头应急灯 4 n
新款灭蝇灯 4 n
消毒灯 4 n
800地砖 4 n
金属踢脚线 4 n
墙面艺术漆 4 n
金刚哑光膜 4 n
半圆石膏线 4 n
卡座水洗石 4 n
面盆柜子 4 n
石英石水盆 4 n
中岛厅 4 n
叠积石膏线 4 n
轻质隔墙 4 n
面盆水龙头 4 n
花池 4 n
弧形矮隔断 4 n
顶面白色乳胶漆 4 n
楼梯不锈钢踢脚线 4 n
卫生间抽纸盒 4 n
不锈钢抽纸盒 4 n
烘手机 4 n
墙皮铲除 4 n
混凝土浇筑 4 n
大厅南墙 4 n
大厅北墙 4 n
墙面装饰架 4 n
型花格800 4 n
工程 4 n
包间 4 n
免漆板矮隔断 4 n
矮隔断玻璃 4 n
造型墙围 4 n
腰线 4 n
踏步粘贴石材 4 n
石膏角线 4 n
30实木墙面造型 4 n
弧形隔断 4 n
五金配件 4 n
玻璃门 3 n
吊顶 3 n
门头 3 n
石膏板造型顶 3 n
反向支撑 3 n
肌理面涂料 3 n
荒料石 3 n
柜子 3 n
木条板 3 n
墙乳胶漆 3 n
钢架基础 3 n
圆吸顶灯 3 n
门头字 3 n
后厨设备 3 n
桌椅板凳 3 n
以预算为准 3 n
彩铝橱窗 3 n
筒灯 3 n
排风扇 3 n
五孔 3 n
餐厅 3 n
甲方签字 3 n
复合地板 3 n
木材雕刻柜体 3 n
木材雕刻 3 n
卡座 3 n
改造卡座 3 n
卡座批灰 3 n
堵缝隙 3 n
整个工程共计 3 n
轻钢隔墙 3 n
垃圾清运费 3 n
水电预收 3 n
设计服务费 3 n
木地板 3 n
项目名称 3 n
墙体开槽 3 n
新做防水 3 n
墙面装饰板 3 n
暖气刷漆 3 n
软膜 3 n
保洁间 3 n
橱窗底座 3 n
木挂板基层 3 n
木挂板饰面 3 n
包电梯 3 n
实木板 3 n
方管装饰架 3 n
防水处理防护二片 3 n
运输 3 n
厨房间 3 n
电路材料 3 n
电线 3 n
一层 3 n
收银台 3 n
楼梯间 3 n
乳胶漆 3 n
色温3000 3 n
艺术墙面体 3 n
原顶处理 3 n
墙面红色艺术漆 3 n
景观台基层 3 n
钢板门套 3 n
顶面上方密封 3 n
浅色艺术漆 3 n
不锈钢架 3 n
阳光板 3 n
乳胶漆饰面 3 n
墙面墙砖 3 n
明档处石材台面 2 n
墙面绿植墙半隔墙 2 n
墙面绿植墙绿植盆 2 n
墙面木条造型 2 n
电器 2 n
角阀 2 n
顶棚 2 n
检修口焊钢架 2 n
展示柜 2 n
金属装饰架 2 n
吧台石材 2 n
金属艺术屏风 2 n
更衣室 2 n
后厨600 2 n
60平板防爆灯 2 n
室内部分 2 n
室外部分 2 n
室外石材踏步粘贴 2 n
肯德基门 2 n
一楼 2 n
二楼 2 n
水泥 2 n
大沙 2 n
材料 2 n
矿棉板吊顶 2 n
铝板粘贴 2 n
不锈钢腰线 2 n
玻璃扶手 2 n
扶手底座 2 n
包门套 2 n
楼梯三角粘贴 2 n
防水护理 2 n
包大柱子 2 n
财务室隔墙拆除 2 n
三开 2 n
双开 2 n
凹槽 2 n
透光石 2 n
地面抬高 2 n
斜坡 2 n
地砖美缝 2 n
展示吊架 2 n
PU-毛石 2 n
百叶 2 n
木挂板造型地柜 2 n
石材台面 2 n
玻璃 2 n
矮隔断 2 n
女更衣室 2 n
仓库 2 n
上墙防水处理 2 n
拉主电缆 2 n
客厅 2 n
走道 2 n
主卧室 2 n
飘窗台面 2 n
次卧 2 n
集成吊顶 2 n
防盗门 2 n
管理费 2 n
工程总造价 2 n
此预算不含监控 2 n
安防 2 n
空调。 2 n
前厅就餐区 2 n
取餐台 2 n
